"sample_time","device_data"
"1639258382703","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""16.1""},""temp"":{""N"":""9.801411""},""PM25"":{""N"":""5.1""}}"
"1639362545918","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""4.6""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.6""}}"
"1639400260667","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""2.9""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.1""}}"
"1638956467174","{""humidity"":{""N"":""0.688037""},""PM10"":{""N"":""10""},""temp"":{""N"":""6.653759""},""PM25"":{""N"":""2""}}"
"1638855906166","{""humidity"":{""N"":""0.940789""},""PM10"":{""N"":""11.1""},""temp"":{""N"":""1.185997""},""PM25"":{""N"":""2.4""}}"
"1639337402142","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""9""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""3.8""}}"
"1639004945022","{""humidity"":{""N"":""0.732134""},""PM10"":{""N"":""5.8""},""temp"":{""N"":""5.87772""},""PM25"":{""N"":""1.8""}}"
"1639197316372","{""humidity"":{""N"":""0.94417""},""PM10"":{""N"":""8.1""},""temp"":{""N"":""1.128578""},""PM25"":{""N"":""2.4""}}"
"1639306876813","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""29.6""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""5.2""}}"
"1639235033260","{""humidity"":{""N"":""0.898874""},""PM10"":{""N"":""5.9""},""temp"":{""N"":""7.163105""},""PM25"":{""N"":""2.2""}}"
"1639121669906","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""7.4""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.3""}}"
"1638924140427","{""humidity"":{""N"":""0.855237""},""PM10"":{""N"":""11.4""},""temp"":{""N"":""4.566769""},""PM25"":{""N"":""1.2""}}"
"1638934916726","{""humidity"":{""N"":""0.788467""},""PM10"":{""N"":""7.1""},""temp"":{""N"":""5.324493""},""PM25"":{""N"":""1.7""}}"
"1638854111504","{""humidity"":{""N"":""0.908589""},""PM10"":{""N"":""7.8""},""temp"":{""N"":""1.595955""},""PM25"":{""N"":""1.5""}}"
"1638811026889","{""humidity"":{""N"":""0.776493""},""PM10"":{""N"":""9.7""},""temp"":{""N"":""6.863983""},""PM25"":{""N"":""1.2""}}"
"1639242215309","{""humidity"":{""N"":""0.944304""},""PM10"":{""N"":""11""},""temp"":{""N"":""7.11179""},""PM25"":{""N"":""4.8""}}"
"1638978015181","{""humidity"":{""N"":""0.614494""},""PM10"":{""N"":""2.8""},""temp"":{""N"":""7.394314""},""PM25"":{""N"":""1.4""}}"
"1639296100804","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""12.3""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""2.6""}}"
"1639380507968","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""8.3""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""2.1""}}"
"1639006740300","{""humidity"":{""N"":""0.736259""},""PM10"":{""N"":""16.1""},""temp"":{""N"":""5.519077""},""PM25"":{""N"":""1.8""}}"
"1639170385905","{""humidity"":{""N"":""0.790217""},""PM10"":{""N"":""24""},""temp"":{""N"":""4.047691""},""PM25"":{""N"":""3.2""}}"
"1638943895292","{""humidity"":{""N"":""0.782937""},""PM10"":{""N"":""12.3""},""temp"":{""N"":""4.938572""},""PM25"":{""N"":""1.4""}}"
"1639182952281","{""humidity"":{""N"":""0.880333""},""PM10"":{""N"":""10.1""},""temp"":{""N"":""2.395077""},""PM25"":{""N"":""3""}}"
"1639323037739","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""2.5""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.3""}}"
"1639279935589","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""16.2""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""3.4""}}"
"1639358956271","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""9.5""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.4""}}"
"1638974425275","{""humidity"":{""N"":""0.618555""},""PM10"":{""N"":""8.2""},""temp"":{""N"":""8.031666""},""PM25"":{""N"":""2.3""}}"
"1639409239543","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""3.2""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.6""}}"
"1639218869578","{""humidity"":{""N"":""0.821528""},""PM10"":{""N"":""27.8""},""temp"":{""N"":""5.458412""},""PM25"":{""N"":""4""}}"
"1638897209023","{""humidity"":{""N"":""0.981353""},""PM10"":{""N"":""8.8""},""temp"":{""N"":""5.15414""},""PM25"":{""N"":""2.2""}}"
"1639112685878","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""3.6""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.1""}}"
"1639256587420","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""12.7""},""temp"":{""N"":""9.586037""},""PM25"":{""N"":""6.6""}}"
"1639215276556","{""humidity"":{""N"":""0.885953""},""PM10"":{""N"":""13.6""},""temp"":{""N"":""3.871613""},""PM25"":{""N"":""4""}}"
"1639226055314","{""humidity"":{""N"":""0.739125""},""PM10"":{""N"":""27.4""},""temp"":{""N"":""7.945633""},""PM25"":{""N"":""4.1""}}"
"1638994173336","{""humidity"":{""N"":""0.676794""},""PM10"":{""N"":""18.2""},""temp"":{""N"":""6.17379""},""PM25"":{""N"":""2.7""}}"
"1638868480512","{""humidity"":{""N"":""0.815088""},""PM10"":{""N"":""15.4""},""temp"":{""N"":""4.992561""},""PM25"":{""N"":""1.6""}}"
"1639144323571","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""3.5""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.2""}}"
"1639035469732","{""humidity"":{""N"":""0.83824""},""PM10"":{""N"":""14.9""},""temp"":{""N"":""3.046738""},""PM25"":{""N"":""2.1""}}"
"1639147914149","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""5.6""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.5""}}"
"1638823590788","{""humidity"":{""N"":""0.844597""},""PM10"":{""N"":""11.8""},""temp"":{""N"":""3.247997""},""PM25"":{""N"":""2.2""}}"
"1638916957495","{""humidity"":{""N"":""0.881683""},""PM10"":{""N"":""12""},""temp"":{""N"":""4.69363""},""PM25"":{""N"":""1.3""}}"
"1638864888421","{""humidity"":{""N"":""0.840243""},""PM10"":{""N"":""3""},""temp"":{""N"":""3.743229""},""PM25"":{""N"":""1.3""}}"
"1638925936321","{""humidity"":{""N"":""0.872845""},""PM10"":{""N"":""10.7""},""temp"":{""N"":""4.271462""},""PM25"":{""N"":""1.2""}}"
"1639129955505","{""humidity"":{""N"":""0.774133""},""PM10"":{""N"":""3.9""},""temp"":{""N"":""4.961273""},""PM25"":{""N"":""1.2""}}"
"1639389486214","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""5.9""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""2.3""}}"
